名稱,搜尋關鍵字,類型,區域,備註,來源影片
無敵達德哥,無敵達德哥 池袋,烏龍麵,東京・池袋,福岡系手打烏龍，刀切不規則麵體超Q彈，鴨湯冷沾烏龍；疑為「大地のうどん」東池袋店，待確認,https://www.youtube.com/watch?v=EWSRymVMMuo
キッチンABC 池袋東口店,キッチンABC 池袋東口店 池袋,洋食・咖哩,東京・池袋,在地人排隊平價洋食，招牌薑燒豬肉＋黑咖哩雙拼，極度下飯,https://www.youtube.com/watch?v=EWSRymVMMuo
麺屋Hulu-lu,麺屋Hulu-lu 池袋,拉麵,東京・池袋,清爽醬油SOBA細麵，夏威夷風，附SPAM飯糰，叉燒軟嫩易碎,https://www.youtube.com/watch?v=EWSRymVMMuo
麺処 花田 池袋店,麺処 花田 池袋店 池袋,拉麵,東京・池袋,濃郁味噌拉麵（食べログ3.73），現炒豆芽、五花叉燒，冬天首選,https://www.youtube.com/watch?v=EWSRymVMMuo
回し寿司 活美登利 西武池袋店,回し寿司 活美登利 西武池袋店 池袋,回轉壽司,東京・池袋,西武池袋8樓，飛魚卵軍艦、和牛炙燒、味噌蝦，新鮮度有保障,https://www.youtube.com/watch?v=EWSRymVMMuo
炭火燒まる,炭火燒まる 中目黑,雞料理・親子丼,東京・中目黑,雞肉料理專門店：特上鵝肝親子丼、雞白湯拉麵、生雞肉青椒肉絲；正式店名待確認,https://www.youtube.com/watch?v=UmzMmn1A8uQ
聖林館（Seirinkan）,聖林館（Seirinkan） 中目黑,披薩,東京・中目黑,Napoli 披薩專門店（食べログ3.70），只賣瑪格莉特和水手兩種，窯烤,https://www.youtube.com/watch?v=UmzMmn1A8uQ
スターバックス リザーブ ロースタリー 東京,スターバックス リザーブ ロースタリー 東京 中目黑,咖啡・甜點,東京・中目黑,目黑川旁旗艦店，アマゾネス生麵團甜甜圈，散步順路景點,https://www.youtube.com/watch?v=UmzMmn1A8uQ
めぐろの安兵衛,めぐろの安兵衛 目黑,餃子・居酒屋,東京・目黑,高知屋台餃子名店東京分店，薄皮炸餃子外酥內多汁，比惠比壽店好排,https://www.youtube.com/watch?v=UmzMmn1A8uQ
Beef Kitchen 中目黒店,Beef Kitchen 中目黒店 中目黑,和牛燒肉,東京・中目黑,燒肉百名店，套餐 6400 日幣：生和牛塔塔、厚切牛舌、肋眼星、燒版壽喜燒,https://www.youtube.com/watch?v=UmzMmn1A8uQ
